id,name,name,Finish,added_by,user_id,category_id,brand_id,photos,thumbnail_img,color_img,video_provider,video_link,tags,description,unit_price,purchase_price,variant_product,attributes,choice_options,colors,variations,todays_deal,published,approved,stock_visibility_state,cash_on_delivery,featured,seller_featured,current_stock,unit,weight,min_qty,low_stock_quantity,discount,discount_type,discount_start_date,discount_end_date,tax,tax_type,shipping_type,shipping_cost,is_quantity_multiplied,est_shipping_days,num_of_sale,meta_title,meta_description,meta_img,pdf,slug,rating,barcode,digital,auction_product,file_name,file_path,external_link,external_link_btn,wholesale_product,created_at,updated_at
24,CURVE BASIN MIXER WITH CONTROLLER,WALL MOUNTED CONCEPTS,3,admin,9,21,NULL,67,67,75,NULL,NULL,,<p>CURVE BASIN MIXER WITH CONTROLLER<br></p>,10,NULL,0,[],[],[],NULL,0,1,1,quantity,0,0,0,100,Pc,0,1,NULL,0,amount,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,CURVE BASIN MIXER WITH CONTROLLER,CURVE BASIN MIXER WITH CONTROLLER,67,NULL,curve-basin-mixer-with-controller,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,28-04-23 6:43,13-06-23 11:55
26,KONICAL WALL MOUNTED TAP WITH CONTROLLER,WALL MOUNTED CONCEPTS,3,admin,9,21,NULL,68,68,75,NULL,NULL,,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""367"" style=""width: 275pt;""><tbody><tr height=""133"" style=""mso-height-source:userset;height:99.95pt"">
  <td height=""133"" class=""xl73"" width=""367"" style=""height:99.95pt;width:275pt"">KONICAL
  WALL MOUNTED TAP WITH CONTROLLER&nbsp;</td></tr></tbody></table>",10,NULL,0,[],[],[],NULL,0,1,1,quantity,0,0,0,100,Pc,10,1,NULL,0,amount,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,KONICAL WALL MOUNTED TAP WITH CONTROLLER,KONICAL WALL MOUNTED TAP WITH CONTROLLER,68,NULL,konical-wall-mounted-tap-with-controller,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,28-04-23 6:50,13-06-23 11:54
27,WATERFALL WATER FLOW SPOUT WITH CONTROLLER,WALL MOUNTED CONCEPTS,3,admin,9,21,NULL,70,70,75,NULL,NULL,,WATERFALL WATER FLOW SPOUT WITH CONTROLLER<br>,10,NULL,0,[],[],[],NULL,0,1,1,quantity,0,0,0,100,Pc,10,1,NULL,0,amount,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,WATERFALL WATER FLOW SPOUT WITH CONTROLLER,WATERFALL WATER FLOW SPOUT WITH CONTROLLER,70,NULL,waterfall-water-flow-spout-with-controller,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,28-04-23 6:59,15-05-23 10:17
28,SINGLE LEVER BASIN MIXER WALL MOUNTED COMPLETE,WALL MOUNTED CONCEPTS,3,admin,9,21,NULL,119,118,NULL,NULL,NULL,NULL,SINGLE LEVER BASIN MIXER WALL MOUNTED COMPLETE,1000,NULL,0,[],[],[],[],0,1,1,quantity,0,0,0,0,pc,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,SINGLE LEVER BASIN MIXER WALL MOUNTED COMPLETE,NULL,NULL,NULL,single-lever-basin-mixer-wall-mounted-complete-2uhHl,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,13-06-23 11:42,13-06-23 11:42
29,DEW DROP FLOOR MOUNTED TAP WITH SEPARATE CONTROLLER ,FLOOR MOUNTED CONCEPTS,3,admin,9,22,NULL,121,120,NULL,NULL,NULL,NULL,DEW DROP FLOOR MOUNTED TAP WITH SEPARATE CONTROLLER ,1000,NULL,0,[],[],[],[],0,1,1,quantity,0,0,0,0,pc,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,DEW DROP FLOOR MOUNTED TAP WITH SEPARATE CONTROLLER ,NULL,NULL,NULL,dew-drop-floor-mounted-tap-with-separate-controller--Er4wl,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,13-06-23 11:42,13-06-23 11:42
30,DEW DROP FLOOR MOUNTED TAP WITH IN-BUILT CONTROLLER ,FLOOR MOUNTED CONCEPTS,3,admin,9,22,NULL,123,122,NULL,NULL,NULL,NULL,DEW DROP FLOOR MOUNTED TAP WITH IN-BUILT CONTROLLER ,1000,NULL,0,[],[],[],[],0,1,1,quantity,0,0,0,0,pc,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,DEW DROP FLOOR MOUNTED TAP WITH IN-BUILT CONTROLLER ,NULL,NULL,NULL,dew-drop-floor-mounted-tap-with-in-built-controller--VhSqY,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,13-06-23 11:42,13-06-23 11:42
31,FLOOR MOUNTED BATH TUB FILLER,FLOOR MOUNTED CONCEPTS,3,admin,9,22,NULL,125,124,NULL,NULL,NULL,NULL,FLOOR MOUNTED BATH TUB FILLER,1000,NULL,0,[],[],[],[],0,1,1,quantity,0,0,0,0,pc,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,FLOOR MOUNTED BATH TUB FILLER,NULL,NULL,NULL,floor-mounted-bath-tub-filler-QauSc,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,13-06-23 11:42,13-06-23 11:42
32,KONICAL FLOOR MOUNTED TAP WITH IN-BUILT CONTROLLER ,FLOOR MOUNTED CONCEPTS,3,admin,9,22,NULL,127,126,NULL,NULL,NULL,NULL,KONICAL FLOOR MOUNTED TAP WITH IN-BUILT CONTROLLER ,1000,NULL,0,[],[],[],[],0,1,1,quantity,0,0,0,0,pc,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,KONICAL FLOOR MOUNTED TAP WITH IN-BUILT CONTROLLER ,NULL,NULL,NULL,konical-floor-mounted-tap-with-in-built-controller--3SkFq,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,13-06-23 11:42,13-06-23 11:42
33,KONICAL FLOOR MOUNTED TAP WITH SEPARATE CONTROLLER ,FLOOR MOUNTED CONCEPTS,3,admin,9,22,NULL,129,128,NULL,NULL,NULL,NULL,KONICAL FLOOR MOUNTED TAP WITH SEPARATE CONTROLLER ,1000,NULL,0,[],[],[],[],0,1,1,quantity,0,0,0,0,pc,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,KONICAL FLOOR MOUNTED TAP WITH SEPARATE CONTROLLER ,NULL,NULL,NULL,konical-floor-mounted-tap-with-separate-controller--khKhN,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,13-06-23 11:42,13-06-23 11:42
34,QUBE,3 WAY CONTROLLER,3,admin,9,23,NULL,294,294,NULL,NULL,NULL,,QUBE,10,NULL,0,[],[],[],[],0,1,1,quantity,0,0,0,100,Pc,0,1,NULL,0,amount,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,QUBE,QUBE,294,NULL,qube-8qvo2,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,13-06-23 11:42,13-06-23 12:04
35,PIPER,3 WAY CONTROLLER,3,admin,9,23,NULL,293,293,NULL,NULL,NULL,,PIPER,10,NULL,0,[],[],[],[],0,1,1,quantity,0,0,0,100,Pc,0,1,NULL,0,amount,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,PIPER,PIPER,293,NULL,piper-wnyrn,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,13-06-23 11:42,13-06-23 12:03
36,JOYSTICK,3 WAY CONTROLLER,3,admin,9,23,NULL,292,292,NULL,NULL,NULL,,JOYSTICK,10,NULL,0,[],[],[],[],0,1,1,quantity,0,0,0,100,Pc,0,1,NULL,0,amount,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,JOYSTICK,JOYSTICK,292,NULL,joystick-t92it,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,13-06-23 11:42,13-06-23 12:01
37,CONTROLLER BODY ,3 WAY CONTROLLER,3,admin,9,23,NULL,137,136,NULL,NULL,NULL,NULL,CONTROLLER BODY ,1000,NULL,0,[],[],[],[],0,1,1,quantity,0,0,0,0,pc,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,CONTROLLER BODY ,NULL,NULL,NULL,controller-body--PHKna,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,13-06-23 11:42,13-06-23 11:42
38,CONTROLLER BODY TABLE MOUNTED WITH CHUCK NUT,3 WAY CONTROLLER,3,admin,9,23,NULL,139,138,NULL,NULL,NULL,NULL,CONTROLLER BODY TABLE MOUNTED WITH CHUCK NUT,1000,NULL,0,[],[],[],[],0,1,1,quantity,0,0,0,0,pc,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,CONTROLLER BODY TABLE MOUNTED WITH CHUCK NUT,NULL,NULL,NULL,controller-body-table-mounted-with-chuck-nut-cVIVG,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,13-06-23 11:42,13-06-23 11:42
